REP_AIRP/TIME;SXF;TXL
2010-01;221426;462900
2010-02;240365;477095
2010-03;293509;614544
2010-04;249739;488984
2010-05;317921;662578
2010-06;329551;703944
2010-07;355666;697982
2010-08;374892;697564
2010-09;351519;761642
2010-10;379531;783420
2010-11;285536;644919
2010-12;282897;540222
2011-01;235503;514261
2011-02;235985;564532
2011-03;283574;667033
2011-04;294911;686011
2011-05;301743;782647
2011-06;317349;758102
2011-07;333190;778874
2011-08;340712;763174
2011-09;332454;823252
2011-10;362642;830245
2011-11;262956;690230
2011-12;274200;637062
2012-01;230983;555698
2012-02;243199;602253
2012-03;284497;718209
2012-04;310383;728879
2012-05;315683;793515
2012-06;310191;812589
2012-07;341291;871522
2012-08;329539;852319
2012-09;332449;888593
2012-10;348236;894225
2012-11;252451;756370
2012-12;251834;644948
2013-01;211767;590318
2013-02;219512;624239
2013-03;270870;767496
2013-04;282900;825339
2013-05;300448;868247
2013-06;294730;905807
2013-07;320552;958622
2013-08;307180;890052
2013-09;312422;938419
2013-10;338905;964227
2013-11;256729;778259
2013-12;262083;704769
2014-01;220473;647406
2014-02;237576;675554
2014-03;277092;799569
2014-04;314596;859487
2014-05;319038;942054
2014-06;335483;967280
2014-07;317622;934966
2014-08;344286;978837
2014-09;347172;1003708
2014-10;363391;993636
2014-11;291868;833147
2014-12;291704;739529